,end traj
5725,[-0.65704215  0.16919707]
5726,[-0.56604674  0.11385626]
5727,[-0.4696757   0.06856084]
5728,[-0.36903036  0.03382656]
5729,[-0.26526078  0.01004884]
5730,[-0.1595526  -0.00250173]
5731,[-0.05311354 -0.00368248]
5732,[0.05284034 0.00651971]
5733,[0.15709852 0.0279883 ]
5734,[0.25846979 0.06047836]
5735,[0.35579582 0.10361939]
5736,[0.44796441 0.15691954]
5737,[0.53392207 0.21977121]
5738,[0.61268611 0.291458  ]
5739,[0.68335579 0.3711628 ]
5740,[0.74512258 0.45797719]
5741,[0.7972794  0.55091173]
5742,[0.83922866 0.64890725]
5743,[0.87048905 0.75084691]
5744,[0.89070106 0.85556895]
5745,[0.89963105 0.96187988]
5746,[0.89717394 1.06856815]
5747,[0.88335435 1.17441786]
5748,[0.85832639 1.27822269]
5749,[0.82237186 1.37879963]
5750,[0.77589704 1.47500242]
5751,[0.71942809 1.56573464]
5752,[0.65360504 1.64996221]
5753,[0.57917446 1.72672514]
5754,[0.49698103 1.79514851]
5755,[0.40795785 1.85445239]
5756,[0.31311584 1.90396077]
5757,[0.21353223 1.94310924]
5758,[0.11033825 1.97145142]
5759,[0.00470628 1.98866403]
5760,[-0.10216353  1.99455063]
5761,[-0.20905693  1.98904379]
5762,[-0.20905693  1.98904379]
5763,[-0.31475938  1.97220591]
5764,[-0.41806994  1.94422846]
5765,[-0.51781489  1.90542986]
5766,[-0.61286117  1.8562518 ]
5767,[-0.70212921  1.79725422]
5768,[-0.78460532  1.72910895]
5769,[-0.85935316  1.65259204]
5770,[-0.92552445  1.56857491]
5771,[-0.98236863  1.47801444]
5772,[-1.0292414   1.38194207]
5773,[-1.06561208  1.28145201]
5774,[-1.09106962  1.17768883]
5775,[-1.10532734  1.07183437]
5776,[-1.10822614  0.96509431]
5777,[-1.09973634  0.85868442]
5778,[-1.07995803  0.75381669]
5779,[-1.04911989  0.65168555]
5780,[-1.00757662  0.55345426]
5781,[-0.9558049   0.46024162]
5782,[-0.89439792  0.37310928]
5783,[-0.82405868  0.2930496 ]
5784,[-0.74559191  0.22097435]
5785,[-0.65989497  0.15770433]
5786,[-0.5679476   0.10396004]
5787,[-0.47080072  0.06035343]
5788,[-0.36956451  0.02738094]
5789,[-0.26539576  0.00541787]
5790,[-0.15948464 -0.00528593]
5791,[-0.05304118 -0.00460888]
5792,[0.05271851 0.00744091]
5793,[0.15658613 0.03072579]
5794,[0.25737493 0.06498007]
5795,[0.35393323 0.1098131 ]
5796,[0.44515756 0.16471369]
5797,[0.53000521 0.22905596]
5798,[0.60750615 0.30210645]
5799,[0.67677403 0.38303247]
5800,[0.73701629 0.47091162]
5801,[0.78754324 0.56474227]
5802,[0.82777584 0.66345498]
5803,[0.85725238 0.76592468]
5804,[0.87563366 0.87098352]
5805,[0.88270692 0.97743411]
5806,[0.87838821 1.08406324]
5807,[0.86272339 1.18965565]
5808,[0.8358876  1.29300788]
5809,[0.79818323 1.392942  ]
5810,[0.75003653 1.48831904]
5811,[0.69199268 1.57805192]
5812,[0.62470968 1.66111789]
5813,[0.54895074 1.73657014]
5814,[0.46557567 1.80354861]
5815,[0.37553106 1.8612898 ]
5816,[0.27983946 1.90913542]
5817,[0.17958777 1.94653995]
5818,[0.07591487 1.97307682]
5819,[-0.03000141  1.98844328]
5820,[-0.13695768  1.99246385]
5821,[-0.24373869  1.9850923 ]
5822,[-0.24373869  1.9850923 ]
5823,[-0.34913118  1.96641222]
5824,[-0.45193773  1.93663602]
5825,[-0.55099036  1.89610254]
5826,[-0.64516389  1.84527318]
5827,[-0.73338869  1.78472664]
5828,[-0.81466293  1.71515235]
5829,[-0.88806398  1.63734256]
5830,[-0.9527589   1.55218338]
5831,[-1.00801392  1.46064464]
5832,[-1.05320286  1.36376885]
5833,[-1.0878142   1.26265934]
5834,[-1.11145695  1.15846767]
5835,[-1.12386508  1.0523805 ]
5836,[-1.12490057  0.94560611]
5837,[-1.11455496  0.83936059]
5838,[-1.09294946  0.73485401]
5839,[-1.06033359  0.63327663]
5840,[-1.01708227  0.53578533]
5841,[-0.96369165  0.44349043]
5842,[-0.90077336  0.35744306]
5843,[-0.82904759  0.27862316]
5844,[-0.74933489  0.20792832]
5845,[-0.66254679  0.14616356]
5846,[-0.56967545  0.09403216]
5847,[-0.47178232  0.05212763]
5848,[-0.36998609  0.02092698]
5849,[-0.26544989  0.00078525]
5850,[-0.15936809 -0.00806851]
5851,[-0.05295267 -0.00553388]
5852,[0.05258062 0.00835984]
5853,[0.15602604 0.03345391]
5854,[0.25620167 0.06946198]
5855,[0.35196282 0.11597336]
5856,[0.44221511 0.17245768]
5857,[0.52592691 0.23827095]
5858,[0.60214114 0.31266288]
5859,[0.66998611 0.39478547]
5860,[0.7286855  0.48370261]
5861,[0.77756718 0.57840078]
5862,[0.81607088 0.67780061]
5863,[0.84375459 0.78076915]
5864,[0.86029954 0.88613278]
5865,[0.8655139 0.9926906]
5866,[0.85933491 1.09922812]
5867,[0.84182964 1.20453106]
5868,[0.81319419 1.3073992 ]
5869,[0.77375148 1.40666007]
5870,[0.72394754 1.5011823 ]
5871,[0.66434649 1.58988851]
5872,[0.59562403 1.67176758]
5873,[0.5185598  1.74588616]
5874,[0.4340285  1.81139934]
5875,[0.34298988 1.86756023]
5876,[0.24647783 1.91372852]
5877,[0.14558862 1.94937772]
5878,[0.04146837 1.97410121]
5879,[-0.06469996  1.98761684]
5880,[-0.17171011  1.98977015]
5881,[-0.2783462   1.98053614]
5882,[-0.2783462   1.98053614]
5883,[-0.38339663  1.96001955]
5884,[-0.48566785  1.92845366]
5885,[-0.583998    1.88619765]
5886,[-0.67727008  1.83373247]
5887,[-0.76442476  1.77165542]
5888,[-0.84447239  1.70067329]
5889,[-0.9165043   1.62159433]
5890,[-0.97970312  1.53531904]
5891,[-1.03335216  1.44282991]
5892,[-1.0768435   1.34518022]
5893,[-1.10968496  1.24348206]
5894,[-1.13150572  1.13889363]
5895,[-1.14206048  1.03260607]
5896,[-1.14123234  0.92582987]
5897,[-1.12903407  0.81978109]
5898,[-1.10560797  0.71566749]
5899,[-1.07122429  0.6146748 ]
5900,[-1.02627811  0.51795319]
5901,[-0.97128485  0.42660415]
5902,[-0.90687441  0.34166796]
5903,[-0.83378397  0.26411185]
5904,[-0.75284961  0.19481895]
5905,[-0.66499679  0.13457826]
5906,[-0.57122977  0.08407563]
5907,[-0.47262022  0.04388596]
5908,[-0.37029497  0.01446665]
5909,[-0.26542317 -0.00384761]
5910,[-0.15920301 -0.01084864]
5911,[-0.05284802 -0.00645719]
5912,[0.05242671 0.00927623]
5913,[0.15541843 0.03617185]
5914,[0.25495037 0.07392274]
5915,[0.3498852  0.12209829]
5916,[0.43913795 0.18014913]
5917,[0.52168841 0.24741335]
5918,[0.59659271 0.32312408]
5919,[0.66299411 0.40641821]
5920,[0.72013274 0.49634626]
5921,[0.76735427 0.59188311]
5922,[0.80411734 0.69193978]
5923,[0.82999978 0.79537578]
5924,[0.84470336 0.90101211]
5925,[0.84805724 1.00764471]
5926,[0.84001986 1.11405817]
5927,[0.82067946 1.21903955]
5928,[0.79025308 1.32139227]
5929,[0.74908403 1.41994965]
5930,[0.69763804 1.51358829]
5931,[0.63649792 1.60124081]
5932,[0.56635694 1.68190803]
5933,[0.48801091 1.75467037]
5934,[0.40234912 1.8186983 ]
5935,[0.31034422 1.87326179]
5936,[0.21304112 1.91773868]
5937,[0.11154511 1.95162169]
5938,[0.00700924 1.97452427]
5939,[-0.09937881  1.98618494]
5940,[-0.20641024  1.98647034]
5941,[-0.31286893  1.97537668]
5942,[-0.31286893  1.97537668]
5943,[-0.41754529  1.95302983]
5944,[-0.51925004  1.91968387]
5945,[-0.61682774  1.8757182 ]
5946,[-0.70916997  1.82163319]
5947,[-0.79522799  1.75804454]
5948,[-0.87402462  1.6856762 ]
5949,[-0.94466543  1.60535215]
5950,[-1.00634892  1.51798703]
5951,[-1.05837563  1.42457568]
5952,[-1.10015612  1.32618183]
5953,[-1.13121771  1.223926  ]
5954,[-1.15120982  1.11897268]
5955,[-1.159908   1.0125171]
5956,[-1.15721649  0.90577161]
5957,[-1.14316926  0.79995187]
5958,[-1.1179297   0.69626297]
5959,[-1.08178869  0.59588575]
5960,[-1.03516133  0.49996328]
5961,[-0.97858219  0.40958791]
5962,[-0.91269921  0.32578878]
5963,[-0.83826636  0.24952009]
5964,[-0.75613501  0.18165024]
5965,[-0.66724422  0.12295197]
5966,[-0.57261009  0.07409349]
5967,[-0.47331415  0.03563091]
5968,[-0.37049105  0.00800191]
5969,[-0.26531559 -0.00847929]
5970,[-0.15898943 -0.01362546]
5971,[-0.05272728 -0.00737853]
5972,[0.05225684 0.01018979]
5973,[0.15476347 0.03887876]
5974,[0.25362141 0.07836098]
5975,[0.347701   0.12818604]
5976,[0.43592703 0.1877857 ]
5977,[0.517291   0.25648038]
5978,[0.59086256 0.33348684]
5979,[0.65580016 0.41792716]
5980,[0.71136062 0.50883871]
5981,[0.75690761 0.60518514]
5982,[0.79191886 0.70586818]
5983,[0.81599215 0.80974013]
5984,[0.82884988 0.91561699]
5985,[0.83034225 1.02229188]
5986,[0.82044892 1.12854886]
5987,[0.79927929 1.23317672]
5988,[0.76707124 1.33498283]
5989,[0.7241884  1.43280671]
5990,[0.67111603 1.52553323]
5991,[0.60845548 1.61210535]
5992,[0.53691734 1.69153616]
5993,[0.45731336 1.76292009]
5994,[0.37054718 1.82544326]
5995,[0.27760402 1.87839274]
5996,[0.17953952 1.92116468]
5997,[0.07746763 1.95327118]
5998,[-0.02745203  1.97434587]
5999,[-0.13402738  1.98414804]
6000,[-0.24104749  1.98256544]
6001,[-0.34729636  1.96961551]
6002,[-0.34729636  1.96961551]
6003,[-0.45156677  1.94544521]
6004,[-0.55267406  1.91032933]
6005,[-0.64946959  1.86466739]
6006,[-0.74085385  1.80897903]
6007,[-0.82578898  1.74389814]
6008,[-0.90331061  1.67016563]
6009,[-0.97253881  1.58862096]
6010,[-1.03268817  1.50019262]
6011,[-1.0830767  1.4058875]
6012,[-1.12313363  1.30677948]
6013,[-1.15240587  1.20399712]
6014,[-1.17056325  1.09871087]
6015,[-1.1774022  0.9921197]
6016,[-1.17284813  0.88543744]
6017,[-1.15695624  0.77987898]
6018,[-1.1299109   0.67664636]
6019,[-1.09202357  0.57691517]
6020,[-1.04372924  0.48182108]
6021,[-0.98558144  0.39244692]
6022,[-0.918246    0.30981036]
6023,[-0.84249342  0.23485232]
6024,[-0.75919008  0.1684262 ]
6025,[-0.6692884   0.11128823]
6026,[-0.57381599  0.06408878]
6027,[-0.47386391  0.02736501]
6028,[-0.37057427  0.00153473]
6029,[-0.2651272 -0.0131084]
6030,[-0.15872741 -0.01639814]
6031,[-0.05259048 -0.00829762]
6032,[0.05207104 0.01110024]
6033,[0.15406137 0.04157384]
6034,[0.25221519 0.08277535]
6035,[0.34541089 0.13423473]
6036,[0.43258333 0.19536508]
6037,[0.51273601 0.26546929]
6038,[0.58495242 0.34374802]
6039,[0.64840644 0.4293088 ]
6040,[0.70237182 0.52117617]
6041,[0.74623039 0.61830283]
6042,[0.77947914 0.71958156]
6043,[0.80173595 0.82385783]
6044,[0.81274393 0.92994296]
6045,[0.81237433 1.03662765]
6046,[0.80062807 1.14269578]
6047,[0.77763566 1.24693825]
6048,[0.74365575 1.34816675]
6049,[0.69907218 1.44522731]
6050,[0.64438959 1.53701347]
6051,[0.58022769 1.62247884]
6052,[0.50731419 1.70064903]
6053,[0.42647651 1.77063281]
6054,[0.33863236 1.83163218]
6055,[0.24477927 1.88295151]
6056,[0.14598323 1.92400547]
6057,[0.04336655 1.95432569]
6058,[-0.06190493  1.97356606]
6059,[-0.16863512  1.98150674]
6060,[-0.27561131  1.97805662]
6061,[-0.38161799  1.96325437]
6062,[-0.38161799  1.96325437]
6063,[-0.4854507   1.93726798]
6064,[-0.58592973  1.90039289]
6065,[-0.6819136   1.85304858]
6066,[-0.77231205  1.79577383]
6067,[-0.85609843  1.72922053]
6068,[-0.93232144  1.65414631]
6069,[-1.00011595  1.57140586]
6070,[-1.05871286  1.48194124]
6071,[-1.10744787  1.38677109]
6072,[-1.14576901  1.28697906]
6073,[-1.173243    1.18370149]
6074,[-1.18956012  1.07811438]
6075,[-1.19453776  0.97142009]
6076,[-1.18812252  0.86483357]
6077,[-1.17039079  0.75956853]
6078,[-1.14154792  0.65682364]
6079,[-1.10192581  0.55776887]
6080,[-1.05197921  0.46353211]
6081,[-0.99228047  0.37518638]
6082,[-0.92351309  0.29373757]
6083,[-0.84646384  0.22011301]
6084,[-0.76201389  0.15515086]
6085,[-0.67112871  0.09959058]
6086,[-0.5748471   0.05406455]
6087,[-0.47426932  0.01909078]
6088,[-0.37054461 -0.00493292]
6089,[-0.26485805 -0.01773351]
6090,[-0.15841705 -0.01916581]
6091,[-0.05243765 -0.00921419]
6092,[0.05186938 0.01200732]
6093,[0.15331234 0.04425625]
6094,[0.25073215 0.0871645 ]
6095,[0.34301556 0.14024254]
6096,[0.42910785 0.20288494]
6097,[0.50802484 0.27437734]
6098,[0.5788641 0.3539045]
6099,[0.64081522 0.44055966]
6100,[0.69316907 0.53335487]
6101,[0.73532586 0.63123217]
6102,[0.766802   0.73307575]
6103,[0.78723554 0.83772458]
6104,[0.7963904  0.94398566]
6105,[0.79415895 1.05064766]
6106,[0.78056334 1.15649463]
6107,[0.75575515 1.26031995]
6108,[0.72001373 1.36094   ]
6109,[0.67374301 1.45720769]
6110,[0.61746686 1.54802553]
6111,[0.55182316 1.63235809]
6112,[0.4775565  1.70924387]
6113,[0.39550976 1.77780617]
6114,[0.3066144  1.83726316]
6115,[0.21187995 1.88693671]
6116,[0.11238247 1.9262602 ]
6117,[0.00925225 1.95478488]
6118,[-0.09633898  1.97218509]
6119,[-0.2031915   1.97826186]
6120,[-0.31009118  1.97294528]
6121,[-0.41582338  1.9562952 ]
6122,[-0.41582338  1.9562952 ]
6123,[-0.51918675  1.92850064]
6124,[-0.61900692  1.88987757]
6125,[-0.7141499   1.84086532]
6126,[-0.803535    1.78202162]
6127,[-0.8861471   1.71401619]
6128,[-0.96104827  1.63762312]
6129,[-1.02738844  1.5537121 ]
6130,[-1.08441506  1.46323844]
6131,[-1.13148169  1.36723224]
6132,[-1.16805539  1.26678662]
6133,[-1.19372275  1.16304529]
6134,[-1.20819463  1.0571895 ]
6135,[-1.21130944  0.95042458]
6136,[-1.20303499  0.84396625]
6137,[-1.18346884  0.73902671]
6138,[-1.15283721  0.63680085]
6139,[-1.11149239  0.53845266]
6140,[-1.05990874  0.44510194]
6141,[-0.99867725  0.35781155]
6142,[-0.92849886  0.27757531]
6143,[-0.85017642  0.20530666]
6144,[-0.76460559  0.14182825]
6145,[-0.67276459  0.08786261]
6146,[-0.5757031   0.04402385]
6147,[-0.47453027  0.01081073]
6148,[-0.37040209 -0.01139906]
6149,[-0.26450822 -0.02235322]
6150,[-0.15805843 -0.02192765]
6151,[-0.05226886 -0.01012795]
6152,[0.05165193 0.01291074]
6153,[0.15251662 0.04692518]
6154,[0.24917273 0.09152711]
6155,[0.34051575 0.14620763]
6156,[0.42550167 0.21034301]
6157,[0.50315892 0.2832018 ]
6158,[0.57259945 0.36395317]
6159,[0.63302879 0.45167633]
6160,[0.68375517 0.5453711 ]
6161,[0.72419735 0.64396924]
6162,[0.75389127 0.74634664]
6163,[0.77249533 0.85133614]
6164,[0.77979428 0.95774082]
6165,[0.77570167 1.06434762]
6166,[0.76026084 1.1699412 ]
6167,[0.73364443 1.27331774]
6168,[0.69615239 1.37329869]
6169,[0.64820862 1.46874419]
6170,[0.59035605 1.55856604]
6171,[0.52325053 1.64174012]
6172,[0.44765335 1.71731805]
6173,[0.36442252 1.784438  ]
6174,[0.27450304 1.84233449]
6175,[0.1789161  1.89034714]
6176,[0.07874747 1.92792816]
6177,[-0.02486486  1.95464863]
6178,[-0.13074368  1.97020337]
6179,[-0.23768598  1.97441438]
6180,[-0.3444766   1.96723295]
6181,[-0.44990211  1.94874013]
6182,[-0.44990211  1.94874013]
6183,[-0.55276465  1.91914586]
6184,[-0.65189555  1.87878657]
6185,[-0.74616866  1.82812131]
6186,[-0.83451318  1.76772659]
6187,[-0.91592584  1.69828973]
6188,[-0.98948237  1.6206011 ]
6189,[-1.05434798  1.53554506]
6190,[-1.10978693  1.44408993]
6191,[-1.15517085  1.34727693]
6192,[-1.18998596  1.24620831]
6193,[-1.21383888  1.14203482]
6194,[-1.22646112  1.03594258]
6195,[-1.22771215  0.92913956]
6196,[-1.217581    0.82284185]
6197,[-1.19618638  0.71825977]
6198,[-1.16377533  0.61658408]
6199,[-1.1207204   0.51897243]
6200,[-1.06751541  0.42653619]
6201,[-1.00476982  0.34032774]
6202,[-0.9332018  0.2613285]
6203,[-0.85363003  0.19043776]
6204,[-0.76696438  0.12846244]
6205,[-0.67419554  0.07610786]
6206,[-0.57638374  0.03396974]
6207,[-0.47464667  0.00252739]
6208,[-0.37014673 -0.01786174]
6209,[-0.26407781 -0.02696612]
6210,[-0.15765167 -0.02468281]
6211,[-0.05208414 -0.01103862]
6212,[0.05141874 0.01381022]
6213,[0.15167443 0.04957981]
6214,[0.24753742 0.09586183]
6215,[0.33791221 0.15212818]
6216,[0.42176587 0.217737  ]
6217,[0.49813974 0.29194   ]
6218,[0.56616038 0.37389097]
6219,[0.62504954 0.46265541]
6220,[0.67413299 0.55722121]
6221,[0.71284824 0.65651015]
6222,[0.74075091 0.75939019]
6223,[0.75751981 0.86468838]
6224,[0.76296063 0.97120424]
6225,[0.7570081  1.07772338]
6226,[0.73972676 1.18303139]
6227,[0.71131023 1.28592767]
6228,[0.672079   1.38523906]
6229,[0.62247677 1.47983329]
6230,[0.5630654  1.56863179]
6231,[0.49451852 1.65062206]
6232,[0.41761384 1.72486913]
6233,[0.33322428 1.79052627]
6234,[0.24230806 1.84684464]
6235,[0.14589774 1.89318175]
6236,[0.0450885  1.92900886]
6237,[-0.05897439  1.95391698]
6238,[-0.16510856  1.9676215 ]
6239,[-0.27210806  1.96996548]
6240,[-0.37875708  1.96092138]
6241,[-0.48384379  1.94059145]
6242,[-0.48384379  1.94059145]
6243,[-0.58617417  1.90920649]
6244,[-0.68458561  1.86712327]
6245,[-0.77796013  1.81482044]
6246,[-0.86523716  1.75289309]
6247,[-0.94542558  1.68204597]
6248,[-1.01761505  1.60308543]
6249,[-1.08098635  1.51691028]
6250,[-1.13482074  1.42450154]
6251,[-1.17850814  1.32691122]
6252,[-1.21155406  1.22525039]
6253,[-1.23358526  1.12067647]
6254,[-1.24435401  1.0143801 ]
6255,[-1.24374088  0.90757152]
6256,[-1.23175613  0.80146681]
6257,[-1.20853956  0.69727404]
6258,[-1.17435896  0.59617949]
6259,[-1.12960703  0.49933412]
6260,[-1.0747969   0.40784051]
6261,[-1.01055633  0.32274025]
6262,[-0.93762048  0.24500208]
6263,[-0.85682362  0.17551086]
6264,[-0.76908955  0.1150575 ]
6265,[-0.67542112  0.06432994]
6266,[-0.57688881  0.02390528]
6267,[-0.47461849 -0.00575672]
6268,[-0.36977863 -0.02431897]
6269,[-0.26356697 -0.03157081]
6270,[-0.15719688 -0.02743046]
6271,[-0.05188356 -0.01194593]
6272,[0.05116988 0.0147055 ]
6273,[0.15078604 0.05221934]
6274,[0.24582669 0.10016735]
6275,[0.33520574 0.15800239]
6276,[0.4179016  0.22506467]
6277,[0.49296881 0.30058928]
6278,[0.55954885 0.38371489]
6279,[0.61687989 0.47349357]
6280,[0.66430547 0.56890159]
6281,[0.70128199 0.66885107]
6282,[0.7273849  0.77220241]
6283,[0.74231355 0.87777723]
6284,[0.74589458 0.98437182]
6285,[0.73808394 1.09077085]
6286,[0.71896735 1.19576122]
6287,[0.68875936 1.29814589]
6288,[0.64780088 1.39675748]
6289,[0.59655531 1.49047162]
6290,[0.53560325 1.57821973]
6291,[0.46563588 1.6590012 ]
6292,[0.38744712 1.73189479]
6293,[0.30192454 1.79606913]
6294,[0.21003927 1.85079221]
6295,[0.11283494 1.89543967]
6296,[0.01141578 1.92950197]
6297,[-0.09306596  1.95259014]
6298,[-0.19942315  1.96444028]
6299,[-0.30644726  1.9649165 ]
6300,[-0.41292219  1.9540125 ]
6301,[-0.51763809  1.93185165]
6302,[-0.51763809  1.93185165]
6303,[-0.61940514  1.89868556]
6304,[-0.71706714  1.85489124]
6305,[-0.80951463  1.80096676]
6306,[-0.89569759  1.73752565]
6307,[-0.97463734  1.66528983]
6308,[-1.04543776  1.58508144]
6309,[-1.10729545  1.49781344]
6310,[-1.15950889  1.40447923]
6311,[-1.20148644  1.30614132]
6312,[-1.2327531   1.20391924]
6313,[-1.25295588  1.09897676]
6314,[-1.26186787  0.99250863]
6315,[-1.25939076  0.88572702]
6316,[-1.24555605  0.77984764]
6317,[-1.2205246   0.67607592]
6318,[-1.18458487  0.5755933 ]
6319,[-1.13814956  0.47954371]
6320,[-1.081751    0.38902061]
6321,[-1.01603501  0.30505446]
6322,[-0.94175355  0.22860103]
6323,[-0.8597562   0.16053049]
6324,[-0.77098044  0.10161751]
6325,[-0.67644096  0.05253241]
6326,[-0.57721815  0.01383354]
6327,[-0.47444573 -0.01403908]
6328,[-0.36929788 -0.03076879]
6329,[-0.26297584 -0.03616587]
6330,[-0.15669422 -0.03016974]
6331,[-0.05166717 -0.01284961]
6332,[0.05090544 0.01559629]
6333,[0.14985172 0.05484297]
6334,[0.24404109 0.10444236]
6335,[0.33239717 0.16382847]
6336,[0.41391003 0.23232378]
6337,[0.48764772 0.30914699]
6338,[0.55276688 0.39342192]
6339,[0.60852233 0.48418749]
6340,[0.65427559 0.58040867]
6341,[0.68950212 0.68098826]
6342,[0.71379733 0.78477942]
6343,[0.72688116 0.8905987 ]
6344,[0.72860132 0.99723955]
6345,[0.71893495 1.10348606]
6346,[0.69798894 1.20812681]
6347,[0.66599869 1.30996868]
6348,[0.62332544 1.40785043]
6349,[0.57045214 1.50065594]
6350,[0.50797794 1.58732692]
6351,[0.4366114  1.66687499]
6352,[0.35716238 1.7383929 ]
6353,[0.27053282 1.80106489]
6354,[0.1777065  1.85417602]
6355,[0.07973777 1.89712023]
6356,[-0.02226041  1.92940733]
6357,[-0.12712918  1.95066853]
6358,[-0.23367698  1.96066068]
6359,[-0.34069311  1.95926899]
6360,[-0.44696152  1.94650841]
6361,[-0.55127471  1.92252339]
6362,[-0.55127471  1.92252339]
6363,[-0.65244744  1.88758627]
6364,[-0.74933024  1.84209418]
6365,[-0.84082254  1.78656449]
6366,[-0.92588517  1.72162894]
6367,[-1.00355221  1.64802643]
6368,[-1.07294202  1.56659462]
6369,[-1.13326725  1.47826034]
6370,[-1.18384383  1.3840291 ]
6371,[-1.22409876  1.28497356]
6372,[-1.25357663  1.18222137]
6373,[-1.27194484  1.07694228]
6374,[-1.27899734  0.97033484]
6375,[-1.27465702  0.86361272]
6376,[-1.25897656  0.75799091]
6377,[-1.23213786  0.65467186]
6378,[-1.19444994  0.55483177]
6379,[-1.14634541  0.45960723]
6380,[-1.08837559  0.3700822 ]
6381,[-1.0212042   0.28727574]
6382,[-0.94559976  0.21213035]
6383,[-0.8624269   0.14550123]
6384,[-0.77263649  0.08814657]
6385,[-0.67725476  0.04071889]
6386,[-0.57737167  0.00375759]
6387,[-0.47412846 -0.02231716]
6388,[-0.36870465 -0.03720924]
6389,[-0.2623046  -0.04074993]
6390,[-0.15614382 -0.03289984]
6391,[-0.05143504 -0.01374937]
6392,[0.0506255  0.01648234]
6393,[0.14887176 0.05744989]
6394,[0.24218115 0.10868556]
6395,[0.32948734 0.16960465]
6396,[0.40979238 0.23951212]
6397,[0.48217809 0.31761053]
6398,[0.54581653 0.40300911]
6399,[0.59997942 0.49473393]
6400,[0.64404641 0.59173895]
6401,[0.67751222 0.69291802]
6402,[0.69999232 0.79711737]
6403,[0.71122737 0.90314888]
6404,[0.71108612 1.00980351]
6405,[0.69956696 1.11586514]
6406,[0.67679791 1.2201244 ]
6407,[0.64303515 1.32139245]
6408,[0.59866013 1.41851454]
6409,[0.5441752  1.51038315]
6410,[0.4801979 1.5959506]
6411,[0.40745392 1.67424104]
6412,[0.32676884 1.74436147]
6413,[0.2390587  1.80551203]
6414,[0.1453196  1.85699502]
6415,[0.04661632 1.8982229 ]
6416,[-0.05592982  1.92872497]
6417,[-0.16115368  1.94815272]
6418,[-0.26785964  1.95628383]
6419,[-0.37483518  1.95302467]
6420,[-0.4808647  1.9384114]
6421,[-0.58474341  1.91260951]
6422,[-0.58474341  1.91260951]
6423,[-0.68529099  1.87591201]
6424,[-0.78136509  1.828736  ]
6425,[-0.87187433  1.77161801]
6426,[-0.95579072  1.7052078 ]
6427,[-1.03216139  1.63026103]
6428,[-1.10011945  1.5476306 ]
6429,[-1.15889385  1.45825696]
6430,[-1.20781816  1.36315738]
6431,[-1.2463382   1.26341438]
6432,[-1.27401831  1.16016338]
6433,[-1.29054635  1.05457976]
6434,[-1.29573722  0.94786547]
6435,[-1.289535    0.84123536]
6436,[-1.27201358  0.7359033 ]
6437,[-1.2433758   0.63306838]
6438,[-1.20395116  0.53390124]
6439,[-1.15419207  0.43953074]
6440,[-1.09466865  0.35103106]
6441,[-1.02606231  0.26940951]
6442,[-0.94915792  0.19559505]
6443,[-0.8648349   0.13042764]
6444,[-0.77405718  0.07464878]
6445,[-0.67786225  0.02889296]
6446,[-0.57734931 -0.00631951]
6447,[-0.47366676 -0.03058844]
6448,[-0.3679991  -0.04363836]
6449,[-0.26155347 -0.04532157]
6450,[-0.15554585 -0.03561991]
6451,[-0.05118725 -0.01464494]
6452,[0.05033013 0.01736337]
6453,[0.14784645 0.06003931]
6454,[0.24024744 0.11289565]
6455,[0.32647715 0.17532917]
6456,[0.4055499 0.2466275]
6457,[0.47656159 0.32597732]
6458,[0.53869992 0.41247354]
6459,[0.59125374 0.50512966]
6460,[0.63362105 0.60288899]
6461,[0.66531594 0.7046367 ]
6462,[0.68597409 0.80921252]
6463,[0.69535692 0.91542396]
6464,[0.69335432 1.02205988]
6465,[0.67998588 1.12790431]
6466,[0.65540072 1.23175032]
6467,[0.61987574 1.33241371]
6468,[0.57381246 1.42874655]
6469,[0.5177325  1.51965027]
6470,[0.45227158 1.60408814]
6471,[0.37817233 1.68109709]
6472,[0.29627577 1.7497987 ]
6473,[0.20751176 1.80940919]
6474,[0.11288844 1.85924837]
6475,[0.01348066 1.89874736]
6476,[-0.08958219  1.92745511]
6477,[-0.19512909  1.94504349]
6478,[-0.3019607   1.95131109]
6479,[-0.40886307  1.94618544]
6480,[-0.51462141  1.92972392]
6481,[-0.61803399  1.90211303]
6482,[-0.61803399  1.90211303]
6483,[-0.7179258   1.86366632]
6484,[-0.81316193  1.81482078]
6485,[-0.90266054  1.75613188]
6486,[-0.98540513  1.68826724]
6487,[-1.06045617  1.61199903]
6488,[-1.12696178  1.52819515]
6489,[-1.18416744  1.43780937]
6490,[-1.23142458  1.34187043]
6491,[-1.268198    1.24147036]
6492,[-1.29407192  1.137752  ]
6493,[-1.30875475  1.031896  ]
6494,[-1.31208241  0.92510737]
6495,[-1.30402018  0.81860174]
6496,[-1.28466313  0.71359152]
6497,[-1.254235    0.61127206]
6498,[-1.21308566  0.51280808]
6499,[-1.16168715  0.41932037]
6500,[-1.10062827  0.33187299]
6501,[-1.03060788  0.25146123]
6502,[-0.95242697  0.17900017]
6503,[-0.86697946  0.11531433]
6504,[-0.77524209  0.06112825]
6505,[-0.67826326  0.01705824]
6506,[-0.57715109 -0.01639468]
6507,[-0.47306077 -0.03885041]
6508,[-0.36718146 -0.05005418]
6509,[-0.26072266 -0.0498794 ]
6510,[-0.15490051 -0.03832914]
6511,[-0.05092386 -0.01553605]
6512,[0.05001943 0.01823911]
